Unnamed: 0,Mean Temp,Rel Hum,Wind Spd
998,25.8,64,8
1518,-10.6,70,17
298,6.1,70,9
415,7.6,67,29
1120,-6.9,59,9
631,16.4,78,13
433,12.5,70,18
1813,-11.4,78,13
1792,1.5,74,24
1688,20.8,74,15
432,7.3,74,7
506,17.6,50,10
1237,14.4,85,7
538,20.7,41,22
1759,5.8,79,20
1170,-3.8,58,29
1457,7.6,88,16
1318,21.1,61,9
464,-3.8,48,28
817,5.9,82,21
381,-5.3,64,22
619,18.8,56,21
596,24.3,68,11
679,8.7,64,22
1637,23.7,59,18
965,17.5,66,23
1091,-15.5,65,18
1347,14.3,61,20
1756,10.4,59,22
1027,12.7,72,24
1392,3.6,73,21
495,9.7,42,10
29,-9.3,67,33
1395,3.5,79,19
1505,-2.0,75,17
1211,9.7,61,20
1328,22.8,88,15
527,21.9,57,25
1231,14.1,63,10
1782,0.5,92,18
1461,-1.4,77,25
1669,26.4,65,15
1599,15.4,69,17
254,14.1,82,20
554,24.5,79,12
629,20.9,46,9
1085,-3.8,72,10
1084,-0.9,57,26
1047,3.4,81,7
1315,21.6,87,9
881,17.1,63,19
1506,-0.5,74,28
1273,19.3,86,9
1050,3.8,75,32
1309,24.2,66,13
305,9.1,72,11
331,-1.1,76,13
1043,2.1,66,22
65,-3.8,73,17
1100,-19.0,60,26
1671,24.4,77,15
1348,14.1,91,17
210,25.0,95,6
203,20.2,95,6
324,3.6,73,12
727,-1.6,70,18
898,23.6,76,10
109,10.9,85,24
772,-0.1,73,10
237,17.1,72,17
316,5.6,68,39
1078,-11.1,70,18
700,5.9,76,28
643,17.1,81,12
1336,23.0,73,21
416,1.9,64,19
478,7.4,42,21
1622,16.5,53,21
1121,1.6,69,12
807,1.1,80,16
575,23.9,60,14
1230,16.2,74,15
514,25.8,59,16
707,-2.2,69,25
438,6.3,92,14
1736,10.2,88,22
976,17.9,79,16
111,4.0,70,25
173,20.5,72,28
614,25.4,64,9
1802,1.7,75,22
1536,-2.2,56,19
70,0.6,52,12
