Unnamed: 0,Mean Temp,Rel Hum,Wind Spd
96,4.4,52,15
845,8.3,82,18
1302,23.3,69,14
156,13.8,54,15
419,0.5,87,20
921,21.8,72,13
477,12.1,78,19
930,25.3,63,15
668,6.4,79,19
900,21.7,62,17
1805,-5.7,62,23
1187,1.9,51,10
447,1.8,85,15
1289,25.8,45,12
178,14.2,91,17
390,3.5,74,27
578,23.5,64,11
1226,8.1,45,13
1567,7.4,51,16
923,23.1,82,10
1769,4.5,64,17
764,-7.1,62,27
1151,6.5,71,29
1772,-2.6,67,11
915,20.3,53,10
664,2.6,55,11
142,12.0,37,16
1474,-4.3,68,9
1305,19.9,66,11
421,-7.0,63,23
636,17.4,65,17
1283,19.7,46,11
946,21.0,82,17
615,28.5,73,12
294,10.6,63,23
787,-0.7,56,24
1734,23.1,82,17
88,2.6,66,33
41,-5.8,82,15
1647,26.5,69,18
1762,11.2,86,14
131,12.1,70,28
1287,22.2,50,14
1660,26.5,80,17
1593,9.1,94,26
1694,20.1,56,16
1001,13.6,58,18
164,17.7,84,8
724,-0.2,72,17
290,1.8,65,12
1728,19.7,61,23
1330,20.7,57,17
778,-3.2,69,8
348,5.1,76,26
571,26.5,69,18
1113,-6.6,71,18
1721,17.6,65,12
993,21.9,76,9
1824,5.6,80,32
1201,1.9,90,23
865,13.1,54,20
458,-4.2,67,24
375,-8.2,61,30
333,1.4,73,13
1067,3.2,88,7
1610,16.3,78,16
1804,1.5,68,24
1023,14.7,46,11
1272,17.3,49,12
1696,17.3,62,17
962,22.1,66,12
1758,7.9,74,14
1034,5.6,68,24
328,2.6,76,10
893,26.6,52,19
318,8.4,65,12
1401,4.4,90,17
1239,20.4,50,13
1588,7.2,48,23
167,17.9,51,14
12,-16.4,62,13
171,22.3,65,19
649,10.0,71,7
260,21.8,65,10
1114,-2.2,64,22
1286,24.3,50,22
672,10.2,81,21
258,22.3,58,9
1739,16.6,76,18
138,12.2,64,28
1679,22.6,71,13
549,21.0,43,16
889,17.3,50,9
1613,14.0,56,22
1134,-9.9,71,19
1083,4.1,74,29
558,25.6,60,12
139,10.0,45,20
1774,3.1,76,18
531,17.9,40,9
224,19.6,62,16
723,2.1,85,13
786,2.5,77,26
849,10.4,54,20
409,-17.4,59,8
325,-1.1,73,23
1374,13.1,89,9
299,6.7,70,15
1517,-8.2,59,19
1220,16.4,62,18
1340,26.1,77,14
1697,18.9,68,18
714,-10.4,71,34
193,23.1,95,6
440,9.4,85,18
573,26.1,56,14
503,10.2,51,11
605,25.2,64,16
1320,23.2,68,9
1634,19.3,51,17
846,12.4,86,10
3,-0.8,88,20
1057,1.1,57,18
1303,21.7,70,18
467,2.7,65,22
321,11.4,71,17
5,-11.0,70,22
222,21.9,73,24
547,18.3,63,21
228,26.7,68,14
39,-11.9,77,17
542,25.7,59,15
242,23.4,74,13
1041,3.6,62,8
136,18.1,65,10
1094,-13.3,70,21
1606,17.8,65,12
1441,0.2,79,16
873,16.0,68,10
829,12.2,43,13
445,0.1,56,22
842,8.8,56,23
973,14.5,66,23
1335,28.0,72,20
1214,6.0,46,28
1668,24.3,60,21
581,26.1,60,10
1614,11.6,54,25
1795,-2.5,91,36
661,9.1,67,19
436,7.9,60,14
1695,18.8,60,13
376,-5.8,74,24
1350,18.3,81,8
1111,-6.7,76,12
314,9.9,80,10
442,1.3,62,23
1053,0.9,72,30
319,7.1,77,8
281,11.3,81,18
1674,21.5,50,15
1524,-12.0,61,23
1375,13.1,91,14
424,1.3,66,35
553,26.6,67,13
594,21.7,75,10
1789,4.8,86,15
368,-13.3,58,20
1270,18.1,84,12
940,21.4,60,21
1509,-10.1,67,21
1480,-18.0,66,35
905,19.5,57,21
227,25.0,66,13
1026,16.9,80,14
1106,8.6,84,16
1468,5.3,86,14
