,Mean Temp,Rel Hum,Wind Spd,Total Snow
0,-5,58,29,0
1,-3.6,64,18,1
2,-2.2,85,16,1
3,-0.8,88,20,1
4,-10.1,68,33,1
5,-11,70,22,1
6,-13.9,63,29,1
7,-13.2,70,29,1
8,-10.2,73,34,1
9,-12.9,66,26,0
10,-5.5,63,16,1
11,-8.9,79,22,1
12,-16.4,62,13,0
13,-10.3,73,9,0
14,-8.3,72,20,0
15,-8.8,68,21,0
16,-5.7,73,15,1
17,3,79,19,0
18,-4.5,71,24,1
19,-9.7,61,14,0
20,-8.4,75,12,0
21,-4.3,71,15,0
22,-2.4,72,22,0
23,-2.8,85,17,0
24,-7.8,61,22,0
25,-10.7,57,20,0
26,-9.4,63,20,1
27,-7.3,54,11,0
28,-3.6,73,15,1
29,-9.3,67,33,0
30,-10.4,73,12,0
31,-8.5,74,21,1
32,-14,75,25,1
33,-10.8,72,19,1
34,-5.6,85,14,1
35,-12.3,62,19,0
36,-9,71,24,1
37,-5.4,86,10,1
38,-10.7,86,19,1
39,-11.9,77,17,0
40,-7.7,75,9,0
41,-5.8,82,15,1
42,-10.9,65,30,0
43,-16.4,66,17,1
44,-13.8,74,27,1
45,-22.3,58,35,0
46,-18.9,53,10,0
47,-12.6,55,12,0
48,-11.6,75,14,1
49,-18.4,59,27,0
50,-18.6,55,16,0
51,-11.3,80,7,1
52,-10,76,15,1
53,-18.4,59,23,0
54,-14.5,67,25,0
55,-12.2,63,23,0
56,-14,61,17,0
57,-15.4,64,16,0
58,-11.8,62,11,0
59,-7.8,72,9,0
60,-7.2,66,24,0
61,-6.2,83,13,1
62,-5.3,68,24,0
63,-13.2,55,19,0
64,-12.1,62,20,0
65,-3.8,73,17,1
66,-1.6,67,20,0
67,1,66,18,0
68,1.8,77,10,0
69,3.7,68,25,0
70,0.6,52,12,0
71,2,52,12,0
72,3.5,83,18,0
73,3,68,25,0
74,6,77,10,0
75,0.5,58,37,0
76,-1.6,46,24,0
77,-3,47,12,0
78,3.3,56,10,0
79,0.3,68,27,0
80,-6.1,53,24,1
81,-7,48,18,0
82,-4.4,54,10,0
83,1,84,12,0
84,2.5,76,14,0
85,-3.8,65,27,0
86,-6.1,44,24,0
87,-1.7,54,20,0
88,2.6,66,33,0
89,1.6,65,13,0
90,1.6,43,12,0
91,10,66,16,0
92,8.2,77,14,0
93,1.6,63,24,1
94,-0.5,74,7,0
95,4.6,69,12,0
96,4.4,52,15,0
97,2.7,75,24,0
98,5,96,13,0
99,10.3,76,33,0
100,7,58,24,0
101,9.9,52,12,0
102,15.1,61,17,0
103,10.5,44,15,0
104,9.9,36,12,0
105,8.6,55,12,0
106,15.1,64,12,0
107,12.2,47,22,0
108,8.1,51,26,0
109,10.9,85,24,0
110,7.2,73,23,0
111,4,70,25,0
