Mean Temp,Rel Hum,Wind Spd,Total Snow
-5,58,29,0
-3.6,64,18,0.4
-2.2,85,16,2.4
-0.8,88,20,0.4
-10.1,68,33,0.8
-11,70,22,0.4
-13.9,63,29,0.4
-13.2,70,29,1.2
-10.2,73,34,1.6
-12.9,66,26,0
-5.5,63,16,0.4
-8.9,79,22,1.4
-16.4,62,13,0
-10.3,73,9,0
-8.3,72,20,0
-8.8,68,21,0
-5.7,73,15,0.6
3,79,19,0
-4.5,71,24,0.2
-9.7,61,14,0
-8.4,75,12,0
-4.3,71,15,0
-2.4,72,22,0
-2.8,85,17,0
-7.8,61,22,0
-10.7,57,20,0
-9.4,63,20,0.6
-7.3,54,11,0
-3.6,73,15,5.4
-9.3,67,33,0
-10.4,73,12,0
-8.5,74,21,6.6
-14,75,25,6.2
-10.8,72,19,1
-5.6,85,14,0.8
-12.3,62,19,0
-9,71,24,0.6
-5.4,86,10,5.6
-10.7,86,19,3
-11.9,77,17,0
-7.7,75,9,0
-5.8,82,15,1.8
-10.9,65,30,0
-16.4,66,17,0.2
-13.8,74,27,0.4
-22.3,58,35,0
-18.9,53,10,0
-12.6,55,12,0
-11.6,75,14,2.2
-18.4,59,27,0
-18.6,55,16,0
-11.3,80,7,10.4
-10,76,15,0.2
-18.4,59,23,0
-14.5,67,25,0
-12.2,63,23,0
-14,61,17,0
-15.4,64,16,0
-11.8,62,11,0
-7.8,72,9,0
-7.2,66,24,0
-6.2,83,13,4.6
-5.3,68,24,0
-13.2,55,19,0
-12.1,62,20,0
-3.8,73,17,0.4
-1.6,67,20,0
1,66,18,0
1.8,77,10,0
3.7,68,25,0
0.6,52,12,0
2,52,12,0
3.5,83,18,0
3,68,25,0
6,77,10,0
0.5,58,37,0
-1.6,46,24,0
-3,47,12,0
3.3,56,10,0
0.3,68,27,0
-6.1,53,24,0.2
-7,48,18,0
-4.4,54,10,0
1,84,12,0
2.5,76,14,0
-3.8,65,27,0
-6.1,44,24,0
-1.7,54,20,0
2.6,66,33,0
1.6,65,13,0
1.6,43,12,0
10,66,16,0
8.2,77,14,0
1.6,63,24,2
-0.5,74,7,0
4.6,69,12,0
4.4,52,15,0
2.7,75,24,0
5,96,13,0
10.3,76,33,0
7,58,24,0
9.9,52,12,0
15.1,61,17,0
10.5,44,15,0
9.9,36,12,0
8.6,55,12,0
15.1,64,12,0
12.2,47,22,0
8.1,51,26,0
10.9,85,24,0
7.2,73,23,0
4,70,25,0
1,64,28,0
2.6,56,24,0
4.4,53,13,0
7.1,58,22,0
8.2,69,25,0
11.8,59,20,0
12.5,57,13,0
12.3,60,10,0
14.5,52,18,0
15.2,46,12,0
17.2,44,13,0
17.4,55,18,0
11.6,55,9,0
14.5,50,9,0
16.7,53,9,0
18.2,63,8,0
20.2,65,9,0
20.8,84,11,0
16.3,88,14,0
12.1,70,28,0
9.3,59,22,0
10.4,45,11,0
12,62,8,0
19,65,13,0
18.1,65,10,0
21.1,68,14,0
12.2,64,28,0
10,45,20,0
13.9,34,18,0
10.2,47,22,0
12,37,16,0
19.8,33,17,0
22.5,58,20,0
23.7,64,18,0
23.1,66,26,0
20.6,58,19,0
20.8,59,10,0
20.2,80,22,0
9.2,84,20,0
11.8,72,12,0
13.4,68,11,0
14.1,55,12,0
16.6,70,10,0
19.4,76,15,0
13.8,54,15,0
14.8,61,12,0
20.2,83,14,0
18.8,74,13,0
20.7,73,18,0
18.8,63,14,0
16.4,85,13,0
18.9,72,10,0
17.7,84,8,0
20.7,87,8,0
21.4,68,21,0
17.9,51,14,0
21,64,12,0
17.2,66,15,0
17.3,59,9,0
22.3,65,19,0
21.4,67,13,0
20.5,72,28,0
19.8,57,14,0
19.1,70,11,0
18.7,60,13,0
15.6,77,22,0
14.2,91,17,0
18.6,71,11,0
17.4,85,10,0
19.5,95,6,0
17.5,95,6,0
16.7,95,6,0
18.4,95,6,0
20.8,95,6,0
22,95,6,0
22.5,95,6,0
17.1,95,6,0
19.6,95,6,0
19.9,95,6,0
22.3,95,6,0
23.2,95,6,0
23.1,95,6,0
20.8,95,6,0
17.1,95,6,0
17.6,95,6,0
18.8,95,6,0
25.3,95,6,0
25.3,95,6,0
22.6,95,6,0
21.8,95,6,0
20.1,95,6,0
20.2,95,6,0
21.3,95,6,0
25.7,95,6,0
23.6,95,6,0
25.3,95,6,0
25.5,95,6,0
26.3,95,6,0
25,95,6,0
23.4,94,6,0
21.9,56,20,0
23,64,16,0
22.2,62,23,0
21.8,63,17,0
19.3,59,20,0
18.6,63,10,0
19.5,59,12,0
19.7,66,11,0
19,59,11,0
19,81,9,0
21.9,73,24,0
19.1,62,22,0
19.6,62,16,0
23.7,81,15,0
24.3,72,8,0
25,66,13,0
26.7,68,14,0
23.6,82,9,0
24.6,80,12,0
21.3,74,19,0
18.8,66,16,0
18,66,8,0
18.7,71,12,0
20,65,19,0
17.6,67,16,0
17.1,72,17,0
16,73,11,0
16.9,71,9,0
19.6,72,7,0
