Mean Temp,Rel Hum,Wind Spd
25.8,64,8
-10.6,70,17
6.1,70,9
7.6,67,29
-6.9,59,9
16.4,78,13
12.5,70,18
-11.4,78,13
1.5,74,24
20.8,74,15
7.3,74,7
17.6,50,10
14.4,85,7
20.7,41,22
5.8,79,20
-3.8,58,29
7.6,88,16
21.1,61,9
-3.8,48,28
5.9,82,21
-5.3,64,22
18.8,56,21
24.3,68,11
8.7,64,22
23.7,59,18
17.5,66,23
-15.5,65,18
14.3,61,20
10.4,59,22
12.7,72,24
3.6,73,21
9.7,42,10
-9.3,67,33
3.5,79,19
-2.0,75,17
9.7,61,20
22.8,88,15
21.9,57,25
14.1,63,10
0.5,92,18
-1.4,77,25
26.4,65,15
15.4,69,17
14.1,82,20
24.5,79,12
20.9,46,9
-3.8,72,10
-0.9,57,26
3.4,81,7
21.6,87,9
17.1,63,19
-0.5,74,28
19.3,86,9
3.8,75,32
24.2,66,13
9.1,72,11
-1.1,76,13
2.1,66,22
-3.8,73,17
-19.0,60,26
24.4,77,15
14.1,91,17
25.0,95,6
20.2,95,6
3.6,73,12
-1.6,70,18
23.6,76,10
10.9,85,24
-0.1,73,10
17.1,72,17
5.6,68,39
-11.1,70,18
5.9,76,28
17.1,81,12
23.0,73,21
1.9,64,19
7.4,42,21
16.5,53,21
1.6,69,12
1.1,80,16
23.9,60,14
16.2,74,15
25.8,59,16
-2.2,69,25
6.3,92,14
10.2,88,22
17.9,79,16
4.0,70,25
20.5,72,28
25.4,64,9
1.7,75,22
-2.2,56,19
0.6,52,12
0.4,65,14
21.7,68,24
6.2,56,28
6.5,56,23
27.8,63,12
4.8,78,13
7.9,96,22
17.8,73,12
19.0,59,11
-11.0,65,23
-2.2,59,9
21.5,69,11
19.0,65,13
-8.5,71,17
24.3,64,9
18.2,61,10
9.0,68,18
24.7,58,16
-2.8,85,17
0.2,91,12
25.1,61,10
15.6,58,21
24.6,69,16
9.5,64,14
22.8,42,25
-10.4,62,22
4.7,60,13
17.6,70,23
24.6,59,14
5.9,73,19
-1.7,66,24
22.0,62,20
-1.9,70,32
19.4,64,18
15.0,43,11
16.8,78,16
-3.0,68,8
-8.0,74,18
3.6,72,15
-2.0,77,19
19.3,62,17
20.5,67,17
22.4,57,11
8.0,75,22
-3.1,67,11
13.8,72,14
24.3,63,10
7.1,58,22
20.2,59,16
0.4,76,15
-6.2,68,7
-2.3,72,27
18.0,88,10
-0.2,57,22
8.6,86,16
11.8,79,11
-2.2,69,19
-5.6,68,43
17.9,53,14
22.8,57,13
12.4,81,29
15.7,86,18
1.0,89,8
2.6,95,23
-3.3,72,25
21.9,56,20
11.6,55,9
3.3,66,11
-8.8,63,17
-18.4,59,27
26.6,57,22
-5.8,51,35
0.0,73,19
10.0,71,17
17.7,77,10
5.1,63,28
20.3,83,11
17.1,95,6
26.1,46,14
12.9,63,22
11.9,83,6
7.1,81,24
25.2,71,17
3.3,56,10
-7.8,72,9
13.5,67,10
1.9,44,11
3.0,68,25
1.3,83,11
3.7,68,25
16.4,85,13
12.6,62,14
22.6,54,14
16.9,71,9
-5.9,74,15
12.6,92,10
14.5,59,11
18.0,66,8
8.7,51,15
24.3,73,10
4.2,92,14
12.3,69,14
-1.6,46,24
0.0,66,31
-0.8,65,26
-9.2,67,28
18.1,59,16
-0.8,60,16
-0.7,71,9
9.7,59,16
-9.8,63,23
3.1,80,20
10.9,90,13
1.9,69,24
-9.0,75,15
-10.4,73,12
0.0,56,27
-5.0,70,23
-7.8,77,14
-1.3,68,15
0.2,84,29
7.7,78,34
-1.2,69,19
-6.2,62,10
10.3,76,33
24.3,37,12
23.0,78,12
23.0,59,12
16.0,67,11
16.3,64,28
23.2,57,12
21.0,64,12
14.1,58,22
-4.4,76,10
5.4,79,10
15.2,61,19
10.6,86,14
-2.2,79,32
-7.6,65,19
-8.7,56,12
21.3,82,11
7.0,60,27
-14.0,75,25
-5.8,54,32
-2.3,51,14
2.0,69,16
19.9,69,16
25.6,57,16
21.6,51,12
18.4,58,15
20.8,95,6
-8.1,65,19
17.3,72,7
4.5,67,8
0.9,81,9
-13.8,74,27
9.0,57,25
12.1,61,22
2.2,63,18
18.9,85,16
17.6,95,6
22.6,77,16
6.9,71,13
-0.2,87,30
23.8,56,11
21.7,49,10
7.7,86,18
6.4,76,13
-6.3,66,26
17.4,55,18
-3.7,36,14
8.3,66,23
20.8,62,11
10.4,51,14
9.8,65,28
-10.7,58,17
5.7,73,8
23.1,70,15
26.8,72,16
4.5,70,9
10.4,78,19
19.1,48,11
4.0,79,14
-4.3,84,16
1.0,66,18
-21.2,57,23
2.3,91,13
-2.4,58,30
-5.0,69,26
23.3,42,11
20.7,74,12
-6.9,74,13
2.2,86,12
10.4,82,14
24.3,67,20
1.7,80,11
8.6,66,27
3.6,74,21
1.6,74,11
20.0,90,22
26.6,78,11
-15.0,68,20
15.5,69,16
23.2,54,20
25.1,78,9
-6.5,66,22
18.7,77,20
5.5,60,11
19.6,72,7
-1.1,77,9
22.8,72,23
18.7,68,14
3.8,88,17
3.4,84,13
5.7,82,14
2.0,52,12
-3.0,82,16
21.7,60,10
-11.3,80,7
8.9,74,25
-3.9,85,14
19.4,51,22
23.2,43,20
6.2,46,10
10.0,85,15
-0.8,56,12
13.7,50,10
-1.1,83,16
5.1,82,11
-9.2,71,19
21.9,66,8
26.5,62,7
-6.8,68,11
1.1,77,7
0.1,67,7
21.2,54,17
27.2,66,13
21.1,77,8
16.7,60,15
10.4,66,8
10.2,47,22
24.3,50,20
24.4,79,12
16.9,72,21
21.1,62,12
-4.3,75,16
7.5,80,14
18.3,85,16
18.4,95,6
18.6,54,14
26.8,67,8
-2.6,79,30
4.6,45,14
3.6,73,22
-2.0,72,21
-0.9,53,13
5.8,55,20
7.5,92,16
-12.6,60,22
16.9,78,14
18.3,71,21
25.7,76,11
23.3,54,14
26.1,74,18
-7.5,55,23
18.5,60,16
16.0,76,14
8.9,90,13
15.2,85,22
13.8,62,14
23.8,60,13
21.6,69,8
12.7,50,10
7.6,86,13
19.1,65,19
17.5,95,6
17.3,59,9
14.8,59,14
21.6,52,13
11.0,35,10
11.8,92,21
17.6,78,17
24.5,73,13
22.0,75,10
1.3,80,17
10.2,89,23
12.8,64,15
7.2,62,28
-0.5,73,6
5.1,80,14
6.6,69,29
-9.7,62,10
14.5,84,14
22.3,48,11
19.1,70,11
8.2,42,13
14.3,88,22
2.1,85,22
4.1,58,20
4.5,92,12
2.3,67,13
26.4,87,15
3.1,78,25
-1.9,73,8
22.9,58,16
25.3,95,6
-8.8,68,21
18.7,72,7
19.1,82,16
-4.0,69,24
9.1,78,20
18.0,33,16
14.6,70,19
0.1,70,31
13.2,61,15
7.3,95,20
3.0,55,20
25.3,95,6
22.5,79,12
-0.4,66,23
18.1,57,9
7.7,62,23
5.7,50,15
18.4,56,10
0.2,74,38
16.9,68,12
17.5,79,17
24.2,76,19
24.5,70,8
-1.1,58,18
7.1,74,18
-14.0,61,17
0.8,72,31
-5.2,60,23
2.5,90,12
-16.4,66,17
7.0,58,24
8.7,51,23
27.0,63,17
0.8,57,16
9.9,52,12
6.9,69,34
12.2,47,22
27.8,63,22
-5.0,68,16
6.6,66,19
19.2,67,14
-0.4,68,35
7.3,69,15
12.9,40,12
-7.8,61,28
16.0,64,9
3.9,64,24
20.2,65,9
26.9,50,25
6.1,61,16
3.1,41,20
3.4,66,10
6.7,72,17
-2.8,72,23
21.6,49,15
