Mean Temp,Rel Hum,Wind Spd
4.4,52,15
8.3,82,18
23.3,69,14
13.8,54,15
0.5,87,20
21.8,72,13
12.1,78,19
25.3,63,15
6.4,79,19
21.7,62,17
-5.7,62,23
1.9,51,10
1.8,85,15
25.8,45,12
14.2,91,17
3.5,74,27
23.5,64,11
8.1,45,13
7.4,51,16
23.1,82,10
4.5,64,17
-7.1,62,27
6.5,71,29
-2.6,67,11
20.3,53,10
2.6,55,11
12.0,37,16
-4.3,68,9
19.9,66,11
-7.0,63,23
17.4,65,17
19.7,46,11
21.0,82,17
28.5,73,12
10.6,63,23
-0.7,56,24
23.1,82,17
2.6,66,33
-5.8,82,15
26.5,69,18
11.2,86,14
12.1,70,28
22.2,50,14
26.5,80,17
9.0,94,26
20.1,56,16
13.6,58,18
17.7,84,8
-0.2,72,17
1.8,65,12
19.7,61,23
20.7,57,17
-3.2,69,8
5.1,76,26
26.5,69,18
-6.6,71,18
17.6,65,12
21.9,76,9
5.6,80,32
1.9,90,23
13.1,54,20
-4.2,67,24
-8.2,61,30
1.4,73,13
3.2,88,7
16.3,78,16
1.5,68,24
14.7,46,11
17.3,49,12
17.3,62,17
22.1,66,12
7.9,74,14
5.6,68,24
2.6,76,10
26.6,52,19
8.4,65,12
4.4,90,17
20.4,50,13
7.2,48,23
17.9,51,14
-16.4,62,13
22.3,65,19
10.0,71,7
21.8,65,10
-2.2,64,22
24.3,50,22
10.2,81,21
22.3,58,9
16.6,76,18
12.2,64,28
22.6,71,13
21.0,43,16
17.3,50,9
14.0,56,22
-9.9,71,19
4.1,74,29
25.6,60,12
10.0,45,20
3.1,76,18
17.9,40,9
19.6,62,16
2.1,85,13
2.5,77,26
10.4,54,20
-17.4,59,8
-1.1,73,23
13.1,89,9
6.7,70,15
-8.2,59,19
16.4,62,18
26.1,77,14
18.9,68,18
-10.4,71,34
23.1,95,6
9.4,85,18
26.1,56,14
10.2,51,11
25.2,64,16
23.2,68,9
19.3,51,17
12.4,86,10
-0.8,88,20
1.1,57,18
21.7,70,18
2.7,65,22
11.4,71,17
-11.0,70,22
21.9,73,24
18.3,63,21
26.7,68,14
-11.9,77,17
25.7,59,15
23.4,74,13
3.6,62,8
18.1,65,10
-13.3,70,21
17.8,65,12
0.2,79,16
16.0,68,10
12.2,43,13
0.1,56,22
8.8,56,23
14.5,66,23
28.0,72,20
6.0,46,28
24.3,60,21
26.1,60,10
11.6,54,25
-2.5,91,36
9.1,67,19
7.9,60,14
18.8,60,13
-5.8,74,24
18.3,81,8
-6.7,76,12
9.9,80,10
1.3,62,23
0.9,72,30
7.1,77,8
11.3,81,18
21.5,50,15
-12.0,61,23
13.1,91,14
1.3,66,35
26.6,67,13
21.7,75,10
4.8,86,15
-13.3,58,20
18.1,84,12
21.4,60,21
-10.1,67,21
-18.0,66,35
19.5,57,21
25.0,66,13
16.9,80,14
8.6,84,16
5.3,86,14
12.2,68,14
-1.6,67,20
-5.5,68,26
23.9,56,12
-7.8,61,22
23.4,94,6
4.1,65,18
22.5,58,20
26.5,50,29
-5.3,43,25
-7.8,72,20
3.8,83,13
-3.8,65,27
20.1,52,18
12.4,60,26
-0.1,50,24
20.3,61,19
22.3,68,10
21.4,44,14
22.2,58,8
17.3,65,12
16.3,63,12
23.4,72,9
13.3,70,15
4.9,90,12
15.2,40,8
9.7,52,21
17.6,51,21
-0.5,71,28
2.2,91,18
-8.4,64,8
-3.0,65,13
17.2,64,20
-2.2,85,16
-13.9,63,29
1.0,86,24
5.5,69,14
14.1,43,9
-16.7,58,24
3.0,90,23
0.4,76,21
1.3,83,18
21.8,63,17
17.1,59,7
-7.3,54,11
-1.7,56,13
14.3,46,21
22.3,57,16
12.7,63,12
16.2,73,24
5.4,66,15
-10.3,60,16
-1.1,64,22
-1.0,71,23
21.6,75,10
17.3,70,10
-13.2,70,29
16.6,62,19
-9.7,70,32
-10.7,57,20
4.1,73,21
23.9,56,14
-12.6,55,12
23.8,78,8
15.1,64,12
3.5,87,15
-12.2,63,23
16.0,73,11
23.0,64,16
14.5,52,18
3.5,64,17
-8.2,70,34
-9.6,48,19
3.5,83,18
23.2,73,10
-3.0,54,10
6.4,73,12
-3.0,47,12
24.3,67,10
11.0,72,14
-22.3,58,35
-0.9,77,29
15.3,63,24
18.8,66,16
19.4,77,9
27.9,70,17
15.0,70,26
2.4,90,16
22.3,39,11
-0.3,66,19
8.2,64,25
24.2,66,16
-3.4,70,13
11.2,92,13
4.9,50,18
4.7,50,15
4.8,89,20
-1.9,72,16
-7.2,66,24
-1.9,52,21
2.7,79,25
8.2,77,14
5.4,72,11
17.1,67,13
5.3,58,17
20.8,95,6
11.3,72,13
4.4,83,14
16.0,81,30
1.2,83,16
6.8,71,20
20.3,54,11
27.8,71,15
-14.3,59,28
0.7,86,8
-5.0,78,10
17.2,79,13
11.3,89,27
7.2,73,23
-10.9,65,30
14.5,50,9
21.3,95,6
-10.0,76,15
20.4,49,18
1.8,77,10
-1.4,81,19
-1.2,73,19
16.7,95,6
21.1,68,14
24.4,73,22
9.2,87,18
9.3,59,22
-6.1,53,24
11.1,71,19
22.5,44,11
8.1,81,29
13.7,60,9
20.7,87,8
25.6,68,12
1.1,70,9
25.1,88,14
6.8,44,22
-10.0,73,21
2.7,75,24
-0.9,69,24
-10.9,65,16
0.6,47,25
15.1,61,17
8.1,89,15
6.0,77,10
23.4,71,13
-0.2,80,23
